component_id,lot_id,component_type,parameter,unit,datasheet_min,datasheet_max,failure_mode,parameter_value_0h,parameter_value_24h,parameter_value_96h,parameter_value_168h,lot_median_0h,lot_median_24h,lot_median_96h,lot_median_168h,lot_mad_0h,lot_mad_24h,lot_mad_96h,lot_mad_168h,robust_z_0h,robust_z_24h,robust_z_96h,robust_z_168h,early_drift_24h,early_pct_drift_24h,early_slope_per_h,predicted_168h_linear,actual_168h,observed_drift_168h,observed_slope_per_h,learned_safety_slope_95p,slope_excess_vs_safety,early_robust_z_max,anomaly_label_early,anomaly_score,future_failure_label_168h,risk_level_168h,qa_recommendation,explanation,split
FPGA_0001,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,accelerating_drift,10.417137,13.278739,25.804767,40.716318,10.404641,11.285488,14.54341,17.83988,0.23596200000000067,0.16677800000000076,0.1187509999999996,0.6050269999999998,0.035719465551316956,8.061191409043616,63.9630928216781,25.502904896375284,2.8616019999999995,27.470138868289812,0.11923341666666665,30.448351,40.716318,30.299181,0.18035226785714287,0.05410567172619048,0.1262465961309524,8.061191409043616,1,100.0,1,CRITICAL,HOLD / REJECT,Lot-level outlier; Abnormal early drift; Drift above learned safety slope,train
FPGA_0005,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.071377,11.11871,14.61832,17.83988,10.404641,11.285488,14.54341,17.83988,0.23596200000000067,0.16677800000000076,0.1187509999999996,0.6050269999999998,-0.9526257976547378,-0.6744907594765952,0.4254793878989864,0.0,1.047333,10.399104313144072,0.043638875,17.402708,17.83988,7.768503000000001,0.04624108928571429,0.05410567172619048,-0.007864582440476185,0.9526257976547378,0,45.32,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0009,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,9.49175,10.721567,14.424659,18.444907,10.404641,11.285488,14.54341,17.83988,0.23596200000000067,0.16677800000000076,0.1187509999999996,0.6050269999999998,-2.609473321591387,-2.2806335582318993,-0.6744907594765952,0.6744907594765952,1.2298170000000006,12.956693971080155,0.05124237500000003,18.100469000000004,18.444907,8.953157000000001,0.0532926011904762,0.05410567172619048,-0.0008130705357142776,2.609473321591387,0,63.27,0,HIGH,QA REVIEW,Abnormal early drift,train
FPGA_0013,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.640603,11.318488,13.693177,16.060996,10.404641,11.285488,14.54341,17.83988,0.23596200000000067,0.16677800000000076,0.1187509999999996,0.6050269999999998,0.6744907594765952,0.13346001908361527,-4.829216612088029,-1.9831194643888044,0.6778849999999998,6.370738575623955,0.028245208333333327,15.385798,16.060996,5.420392999999999,0.03226424404761904,0.05410567172619048,-0.02184142767857144,0.6744907594765952,0,42.31,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0017,LOT_A01,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.404641,11.285488,14.54341,17.55206,10.404641,11.285488,14.54341,17.83988,0.23596200000000067,0.16677800000000076,0.1187509999999996,0.6050269999999998,0.0,0.0,0.0,-0.32086490419857905,0.880847000000001,8.465904782298601,0.036701958333333375,16.570570000000007,17.55206,7.147419000000001,0.04254416071428572,0.05410567172619048,-0.011561511011904758,0.0,0,35.0,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0024,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,9.620889,10.60459,13.137644,15.753205,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,0.0,0.0,0.0,0.0,0.9837009999999999,10.224637245061242,0.04098754166666666,16.506796,15.753205,6.132315999999999,0.03650188095238095,0.05410567172619048,-0.017603790773809525,0.0,0,35.0,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0028,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.731802,11.649965,14.123288,16.79616,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,0.9674073850872745,0.6744907594765952,0.6744907594765952,0.5624963098407282,0.9181629999999998,8.555534289581562,0.03825679166666666,17.158943,16.79616,6.064358,0.03609736904761905,0.05410567172619048,-0.018008302678571425,0.9674073850872745,0,45.48,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0032,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,10.860407,11.963621,14.972326,18.016471,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,1.079399437353428,0.8768660541358236,1.255500013775804,1.2206459273774843,1.1032139999999995,10.158127591350853,0.04596724999999998,18.582904999999997,18.016471,7.156063999999999,0.04259561904761904,0.05410567172619048,-0.011510052678571435,1.079399437353428,0,46.69,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0036,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,8.86166,9.415057,11.019819,12.540827,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,-0.6611532510398437,-0.7675035433145746,-1.4492589542355245,-1.7325299469426165,0.5533969999999986,6.244845773816627,0.023058208333333274,12.73543899999999,12.540827,3.6791669999999996,0.02189980357142857,0.05410567172619048,-0.03220586815476191,0.7675035433145746,0,43.31,0,REVIEW,QA REVIEW,Abnormal early drift,train
FPGA_0040,LOT_B02,FPGA,Leakage Current (µA),µA,0.0,50.0,healthy,8.846344,9.576276,12.182286,14.502595,9.620889,10.60459,13.137644,15.753205,0.7745449999999998,1.045375,0.9856440000000006,1.25061,-0.6744907594765953,-0.6634827605791372,-0.6537656019739794,-0.6744907594765952,0.7299319999999998,8.251227851867391,0.030413833333333324,13.955867999999999,14.502595,5.656250999999999,0.03366816071428571,0.05410567172619048,-0.020437511011904767,0.6744907594765953,0,42.31,0,REVIEW,QA REVIEW,Abnormal early drift,train
